"category","prodId","prodName","prodUrl","brand","color","price","imageName","imageS3Url","imageUrl","description","details","pairWithProducts","similarProducts"
"women|shoes|heels|heeled-sandals","9859504","ASOS DESIGN High Way Metallic High Wedges","http://us.asos.com/asos/asos-design-high-way-metallic-high-wedges/prd/9859504?clr=multimetallic&SearchQuery=&cid=6461&gridcolumn=1&gridrow=1&gridsize=4&pge=1&pgesize=72&totalstyles=374","ASOS DESIGN","MULTI-METALLIC","72.00","asos_9859504_multi-metallic.jpg","asos/women/shoes/heels/heeled-sandals/asos_9859504_multi-metallic.jpg","http://images.asos-media.com/products/asos-design-high-way-metallic-high-wedges/9859504-1-multimetallic?$XXL$&wid=513&fit=constrain","Metallic finish|Time to shine|Ankle-strap fastening|Peep toe|Show off that pedicure|Espadrille-style platform sole|Stepping it up a level - quite literally|",,"10071597","10069293|10135629|9859896|9390680"
"women|shoes|heels|heeled-sandals","10104798","Mango strappy espadrille wedge in gold","http://us.asos.com/mango/mango-strappy-espadrille-wedge-in-gold/prd/10104798?clr=gold&SearchQuery=&cid=6461&gridcolumn=1&gridrow=2&gridsize=4&pge=1&pgesize=72&totalstyles=374","Mango","GOLD","67.00","asos_10104798_gold.jpg","asos/women/shoes/heels/heeled-sandals/asos_10104798_gold.jpg","http://images.asos-media.com/products/mango-strappy-espadrille-wedge-in-gold/10104798-1-gold?$XXL$&wid=513&fit=constrain","Open toe|Show off your pedicure|Strappy design|Ankle-strap fastening|Woven sole|Wedge style|Stepping it up a level – quite literally|",,"8905830","8856425|9038243|9303362|9166128"
"women|shoes|heels|heeled-sandals","9859501","ASOS DESIGN Holt Sandal Wedges","http://us.asos.com/asos/asos-design-holt-sandal-wedges/prd/9859501?clr=black&SearchQuery=&cid=6461&gridcolumn=2&gridrow=1&gridsize=4&pge=1&pgesize=72&totalstyles=374","ASOS DESIGN","BLACK","48.00","asos_9859501_black.jpg","asos/women/shoes/heels/heeled-sandals/asos_9859501_black.jpg","http://images.asos-media.com/products/asos-design-holt-sandal-wedges/9859501-1-black?$XXL$&wid=513&fit=constrain","Open toe|Show off your pedicure|Double ankle-strap fastening|Wedge heel|Guaranteed to step up any outfit|",,"10219572|9214270","9336013|9336020|10066359|9177824"
"women|shoes|heels|heeled-sandals","9252758","ASOS DESIGN Happily Sandal Wedges","http://us.asos.com/asos/asos-design-happily-sandal-wedges/prd/9252758?clr=goldglitter&SearchQuery=&cid=6461&gridcolumn=4&gridrow=1&gridsize=4&pge=1&pgesize=72&totalstyles=374","ASOS DESIGN","GOLD-GLITTER","72.00","asos_9252758_gold-glitter.jpg","asos/women/shoes/heels/heeled-sandals/asos_9252758_gold-glitter.jpg","http://images.asos-media.com/products/asos-design-happily-sandal-wedges/9252758-1-goldglitter?$XXL$&wid=513&fit=constrain","Glitter finish|More is definitely more|Ankle-strap fastening|Peep toe|Show off your pedicure|High wedge heel|Guaranteed to step up any outfit|",,"8958131|7976685","9303362|9750963|10104798|8856425"
"women|shoes|heels|heeled-sandals","9129340","ASOS DESIGN Trophy Wide Fit Tie Leg High Wedges","http://us.asos.com/asos/asos-design-trophy-wide-fit-tie-leg-high-wedges/prd/9129340?clr=print&SearchQuery=&cid=6461&gridcolumn=3&gridrow=1&gridsize=4&pge=1&pgesize=72&totalstyles=374","ASOS DESIGN","PRINT","60.00","asos_9129340_print.jpg","asos/women/shoes/heels/heeled-sandals/asos_9129340_print.jpg","http://images.asos-media.com/products/asos-design-trophy-wide-fit-tie-leg-high-wedges/9129340-1-print?$XXL$&wid=513&fit=constrain","Sweet looks from the ground up|Tie fastening|Wedge high heel|Stepping it up a level – quite literally|",,"9935486","9129331|9129336|9129609|9473495"
"women|shoes|heels|heeled-sandals","9867200","River Island wedges with laser cut details","http://us.asos.com/river-island/river-island-wedges-with-laser-cut-details/prd/9867200?clr=black&SearchQuery=&cid=6461&gridcolumn=2&gridrow=2&gridsize=4&pge=1&pgesize=72&totalstyles=374","River Island","BLACK","60.00","asos_9867200_black.jpg","asos/women/shoes/heels/heeled-sandals/asos_9867200_black.jpg","http://images.asos-media.com/products/river-island-wedges-with-laser-cut-details/9867200-1-black?$XXL$&wid=513&fit=constrain","The easiest way to upgrade your outfit|Ankle-strap fastening|Stud detail|Laser cut-out strap|Cos sometimes less is more|Open toe|Woven sole|Wedge heel|",,"","9328178|9867205|9750963|9303362"
"women|shoes|heels|heeled-sandals","9252738","ASOS DESIGN Holt Sandal Wedges","http://us.asos.com/asos/asos-design-holt-sandal-wedges/prd/9252738?clr=hottomato&SearchQuery=&cid=6461&gridcolumn=4&gridrow=2&gridsize=4&pge=1&pgesize=72&totalstyles=374","ASOS DESIGN","HOT-TOMATO","48.00","asos_9252738_hot-tomato.jpg","asos/women/shoes/heels/heeled-sandals/asos_9252738_hot-tomato.jpg","http://images.asos-media.com/products/asos-design-holt-sandal-wedges/9252738-1-hottomato?$XXL$&wid=513&fit=constrain","Surprise you monotone palette with these|Ankle-strap fastening|Open toe|High wedge heel|Stepping it up a level - quite literally|",,"6173909|3980259","9252756|9553385|9867200|9701795"
"women|shoes|heels|heeled-sandals","9252756","ASOS DESIGN Holt Sandal Wedges","http://us.asos.com/asos/asos-design-holt-sandal-wedges/prd/9252756?clr=tan&SearchQuery=&cid=6461&gridcolumn=3&gridrow=2&gridsize=4&pge=1&pgesize=72&totalstyles=374","ASOS DESIGN","TAN","48.00","asos_9252756_tan.jpg","asos/women/shoes/heels/heeled-sandals/asos_9252756_tan.jpg","http://images.asos-media.com/products/asos-design-holt-sandal-wedges/9252756-1-tan?$XXL$&wid=513&fit=constrain","Some serious daytime inspiration right here|Double ankle-strap fastening|Peep toe|Show off your pedicure|Wedge sole|",,"6173909","9252738|9867200|9553385|9280875"
"women|shoes|heels|heeled-sandals","9280875","Dune Leather Summer Cork Wedges","http://us.asos.com/dune/dune-leather-summer-cork-wedges/prd/9280875?clr=nudeleather&SearchQuery=&cid=6461&gridcolumn=1&gridrow=3&gridsize=4&pge=1&pgesize=72&totalstyles=374","Dune","NUDE-LEATHER","119.00","asos_9280875_nude-leather.jpg","asos/women/shoes/heels/heeled-sandals/asos_9280875_nude-leather.jpg","http://images.asos-media.com/products/dune-leather-summer-cork-wedges/9280875-1-nudeleather?$XXL$&wid=513&fit=constrain","You can never have too many|Ankle-strap fastening|Open toe|Cork-style wedge sole|Textured tread|",,"9179299","9145625|9303362|9378051|9252756"
"women|shoes|heels|heeled-sandals","9328178","Glamorous Black Espadrille Wedge Sandals","http://us.asos.com/glamorous/glamorous-black-espadrille-wedge-sandals/prd/9328178?clr=black&SearchQuery=&cid=6461&gridcolumn=2&gridrow=3&gridsize=4&pge=1&pgesize=72&totalstyles=374","Glamorous","BLACK","51.00","asos_9328178_black.jpg","asos/women/shoes/heels/heeled-sandals/asos_9328178_black.jpg","http://images.asos-media.com/products/glamorous-black-espadrille-wedge-sandals/9328178-1-black?$XXL$&wid=513&fit=constrain","Guaranteed to step up any outfit|Ankle-strap fastening|Open toe|Show off your pedicure|Woven wedge sole|",,"8983052|6173909","9328156|9183286|9129617|9328168"
