"category","prodId","prodName","prodUrl","brand","color","price","imageName","imageS3Url","imageUrl","description","details","pairWithProducts","similarProducts"
"women|shoes|boots|flat-boots","9764788","ASOS DESIGN Atom leather chelsea boots","http://us.asos.com/asos/asos-design-atom-leather-chelsea-boots/prd/9764788?clr=whiteleather&SearchQuery=&cid=6455&gridcolumn=2&gridrow=7&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","WHITE-LEATHER","67.00","asos_9764788_white-leather.jpg","asos/women/shoes/boots/flat-boots/asos_9764788_white-leather.jpg","http://images.asos-media.com/products/asos-design-atom-leather-chelsea-boots/9764788-1-whiteleather?$XXL$&wid=513&fit=constrain","Classic design|A wardrobe staple|Elasticated inserts|Back tab|Pointed toe|Low heel|",,"9078379|7516922|9897261","9765375|10240102|9371332|9764785"
"women|shoes|boots|flat-boots","9735504","ASOS DESIGN Premium atomic leather chunky lace up boots","http://us.asos.com/asos/asos-design-premium-atomic-leather-chunky-lace-up-boots/prd/9735504?clr=blackleather&SearchQuery=&cid=6455&gridcolumn=1&gridrow=8&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","BLACK-LEATHER","127.00","asos_9735504_black-leather.jpg","asos/women/shoes/boots/flat-boots/asos_9735504_black-leather.jpg","http://images.asos-media.com/products/asos-design-premium-atomic-leather-chunky-lace-up-boots/9735504-1-blackleather?$XXL$&wid=513&fit=constrain","Lace-up, zip and pin-buckle fastening|Why settle for just one?|Back tab|Contrast stitching|Chunky sole|",,"9166052|9373997|7516922","9644720|10167756|9765350|9644710"
"women|shoes|boots|flat-boots","9183590","ASOS DESIGN Adrian lace up ankle boots","http://us.asos.com/asos/asos-design-adrian-lace-up-ankle-boots/prd/9183590?clr=black&SearchQuery=&cid=6455&gridcolumn=4&gridrow=7&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","BLACK","56.00","asos_9183590_black.jpg","asos/women/shoes/boots/flat-boots/asos_9183590_black.jpg","http://images.asos-media.com/products/asos-design-adrian-lace-up-ankle-boots/9183590-1-black?$XXL$&wid=513&fit=constrain","Chunky design|Round toe|Lace-up front|Side-zip opening|Pull tab|Makes getting them on a little easier|",,"9290255|6134268|6192527","10240111|9765350|9676179|9765365"
"women|shoes|boots|flat-boots","9328575","ASOS DESIGN Aries Leather Studded Ankle Boots","http://us.asos.com/asos/asos-design-aries-leather-studded-ankle-boots/prd/9328575?clr=blackleather&SearchQuery=&cid=6455&gridcolumn=2&gridrow=8&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","BLACK-LEATHER","95.00","asos_9328575_black-leather.jpg","asos/women/shoes/boots/flat-boots/asos_9328575_black-leather.jpg","http://images.asos-media.com/products/asos-design-aries-leather-studded-ankle-boots/9328575-1-blackleather?$XXL$&wid=513&fit=constrain","Cos the weather can’t be trusted|Studded embellishment|Pin-buckle fastening|Cut-out inserts|Cos sometimes less is more|Pull tab|Slim toe|Low heel|",,"9482008|6206126","9440846|9478287|9333715|9040300"
"women|shoes|boots|flat-boots","9764784","ASOS DESIGN Aura leather chelsea ankle boots","http://us.asos.com/asos/asos-design-aura-leather-chelsea-ankle-boots/prd/9764784?clr=tanleather&SearchQuery=&cid=6455&gridcolumn=3&gridrow=7&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","TAN-LEATHER","60.00","asos_9764784_tan-leather.jpg","asos/women/shoes/boots/flat-boots/asos_9764784_tan-leather.jpg","http://images.asos-media.com/products/asos-design-aura-leather-chelsea-ankle-boots/9764784-1-tanleather?$XXL$&wid=513&fit=constrain","Classic design|A wardrobe staple|Elasticated inserts|Back tab|Round toe|Low heel|",,"10360728|10096190|8372970","10402232|9247155|9704010|9871960"
"women|shoes|boots|flat-boots","9805672","ASOS DESIGN Avid suede studded ankle boots","http://us.asos.com/asos/asos-design-avid-suede-studded-ankle-boots/prd/9805672?clr=palegraysuede&SearchQuery=&cid=6455&gridcolumn=1&gridrow=9&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","PALE-GRAY-SUEDE","103.00","asos_9805672_pale-gray-suede.jpg","asos/women/shoes/boots/flat-boots/asos_9805672_pale-gray-suede.jpg","http://images.asos-media.com/products/asos-design-avid-suede-studded-ankle-boots/9805672-1-palegreysuede?$XXL$&wid=513&fit=constrain","The easiest way to upgrade your outfit|Side-zip opening|Multiple-buckle design|Pointed toe|Mid heel|",,"7656256|8796898|9373456","9765382|9765365|9352570|9743959"
"women|shoes|boots|flat-boots","7342077","Dr Martens pascal 8 eye boots","http://us.asos.com/dr-martens/dr-martens-pascal-8-eye-boots/prd/7342077?clr=blackleather&SearchQuery=&cid=6455&gridcolumn=2&gridrow=9&gridsize=4&pge=1&pgesize=72&totalstyles=99","Dr Martens","BLACK-LEATHER","142.00","asos_7342077_black-leather.jpg","asos/women/shoes/boots/flat-boots/asos_7342077_black-leather.jpg","http://images.asos-media.com/products/dr-martens-pascal-8-eye-boots/7342077-1-blackleather?$XXL$&wid=513&fit=constrain","Sweet looks from the ground up|Lace-up fastening|Back tab|Contrast stitching|Round toe|Air-cushioned sole|Bonus: it's also abrasion and slip-resistant|Moulded tread|",,"6226942|6857115|6300914","7974629|9148635|9148641|9148640"
"women|shoes|boots|flat-boots","9222612","ASOS DESIGN Ackton Studded Ankle Boots","http://us.asos.com/asos/asos-design-ackton-studded-ankle-boots/prd/9222612?clr=black&SearchQuery=&cid=6455&gridcolumn=3&gridrow=8&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","BLACK","56.00","asos_9222612_black.jpg","asos/women/shoes/boots/flat-boots/asos_9222612_black.jpg","http://images.asos-media.com/products/asos-design-ackton-studded-ankle-boots/9222612-1-black?$XXL$&wid=513&fit=constrain","Round toe|Side-zip opening|Pin-buckle straps|Stud embellishment|It's all in the details|",,"6134268|6192527","9328575|9052644|9346829|9099143"
"women|shoes|boots|flat-boots","9090725","ASOS DESIGN Ace Studded Cut Out Ankle Boots","http://us.asos.com/asos/asos-design-ace-studded-cut-out-ankle-boots/prd/9090725?clr=black&SearchQuery=&cid=6455&gridcolumn=4&gridrow=8&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","BLACK","48.00","asos_9090725_black.jpg","asos/women/shoes/boots/flat-boots/asos_9090725_black.jpg","http://images.asos-media.com/products/asos-design-ace-studded-cut-out-ankle-boots/9090725-1-black?$XXL$&wid=513&fit=constrain","You can never have too many|Ankle-strap fastening|Cut-out details|Studded trims|Almond toe|Stacked heel|",,"7753437|6206126|9364017","9328575|9440846|9536971|9326235"
"women|shoes|boots|flat-boots","8139476","Vagabond amina black leather chelsea boots","http://us.asos.com/vagabond/vagabond-amina-black-leather-chelsea-boots/prd/8139476?clr=black&SearchQuery=&cid=6455&gridcolumn=3&gridrow=9&gridsize=4&pge=1&pgesize=72&totalstyles=99","Vagabond","BLACK","136.00","asos_8139476_black.jpg","asos/women/shoes/boots/flat-boots/asos_8139476_black.jpg","http://images.asos-media.com/products/vagabond-amina-black-leather-chelsea-boots/8139476-1-black?$XXL$&wid=513&fit=constrain","Sweet looks from the ground up|Elasticated inserts|Back tab|Round toe|Stacked low heel|",,"7516918|7753437|7667982","8061265|9148637|8179901|7974628"
