"category","prodId","prodName","prodUrl","brand","color","price","imageName","imageS3Url","imageUrl","description","details","pairWithProducts","similarProducts"
"women|pair with clothing","5657646","ASOS DESIGN Ridley high waist skinny jeans in lily pretty blue","http://us.asos.com/prd/5657646?CTAref=Complete+the+Look+Carousel_1&featureref1=complete+the+look","ASOS Collection","PRETTY-BLUE","45.00","asos_5657646_pretty-blue.jpg","asos/women/pair-with-clothing/asos_5657646_pretty-blue.jpg","http://images.asos-media.com/products/asos-design-ridley-high-waist-skinny-jeans-in-lily-pretty-blue/5657646-1-prettyblue?$XXL$&wid=513&fit=constrain","Super soft high-stretch denim|Stretch added for comfort and fit|Ultra skinny fit through the leg|Contoured bottom lifting back pockets|High rise|Light-blue wash|Functional pockets|Skinny fit – cut closely to the body|Machine wash|90% Cotton, 9% Polyester, 2% Spandex|Our model wears a W26"" L32"" and is 173cm/5'8” tall|",,,
"women|pair with clothing","9691680","River Island Off The Shoulder Structured Top","http://us.asos.com/prd/9691680?CTAref=Complete+the+Look+Carousel_1&featureref1=complete+the+look","River Island","BLACK","42.00","asos_9691680_black.jpg","asos/women/pair-with-clothing/asos_9691680_black.jpg","http://images.asos-media.com/products/river-island-off-the-shoulder-structured-top/9691680-1-black?$XXL$&wid=513&fit=constrain","Cute, right?|Bardot neck|Structured design|Zip back|Regular cut|Fits you just right|",,,
"women|pair with clothing","9107167","PrettyLittleThing Pinstripe Tailored Pants","http://us.asos.com/prd/9107167?CTAref=Complete+the+Look+Carousel_2&featureref1=complete+the+look","PrettyLittleThing","NA","20.00","asos_9107167_na.jpg","asos/women/pair-with-clothing/asos_9107167_na.jpg","http://images.asos-media.com/products/prettylittlething-pinstripe-tailored-pants/9107167-1-grey?$XXL$&wid=513&fit=constrain","Suitable for work and play|High-rise waist|Zip fly with hook and bar fastening|Pleated front|Pinstripe design|Means business|Tapered leg|Regular fit|Fits you just right|",,,
"women|pair with clothing","10031903","Unique 21 paperbag waist shorts two-piece","http://us.asos.com/prd/10031903?CTAref=Complete+the+Look+Carousel_4&featureref1=complete+the+look","Unique 21","NA","45.00","asos_10031903_na.jpg","asos/women/pair-with-clothing/asos_10031903_na.jpg","http://images.asos-media.com/products/unique-21-paperbag-waist-shorts-two-piece/10031903-1-greenstripe?$XXL$&wid=513&fit=constrain","Co-ord style|It's got a BFF|Paper-bag waist|Side pockets|Striped design|Another staple to line your wardrobe|Regular cut|Fits you just right|Exclusive to ASOS|",,,
"women|pair with clothing","9177364","PrettyLittleThing Striped Tailored Pants Two-Piece","http://us.asos.com/prd/9177364?CTAref=Complete+the+Look+Carousel_1&featureref1=complete+the+look","","WHITE","35.00","asos_9177364_white.jpg","asos/women/pair-with-clothing/asos_9177364_white.jpg","http://images.asos-media.com/products/prettylittlething-striped-tailored-pants-two-piece/9177364-1-white?$XXL$&wid=513&fit=constrain","Co-ord style|It’s got a BFF|High-rise waist|Self-tie fastening|Striped design|Another staple to line your wardrobe|Cropped cut|Tapered fit - cut loosely around the thigh and tapered from the knee to the ankle|",,,
"women|pair with clothing","9567586","Missguided Tailored Belted Short","http://us.asos.com/prd/9567586?CTAref=Complete+the+Look+Carousel_1&featureref1=complete+the+look","Missguided","PINK-STRIPE","40.00","asos_9567586_pink-stripe.jpg","asos/women/pair-with-clothing/asos_9567586_pink-stripe.jpg","http://images.asos-media.com/products/missguided-tailored-belted-short/9567586-1-pinkstripe?$XXL$&wid=513&fit=constrain","Striped design|Get in line|High rise|Self-tie waist|You're in control|Skinny fit|Cut very closely to the body|",,,
"women|pair with clothing","9794282","PrettyLittleThing Polka Dot Frill Hem Wrap Skirt","http://us.asos.com/prd/9794282?CTAref=Complete+the+Look+Carousel_1&featureref1=complete+the+look","PrettyLittleThing","BLACK","23.00","asos_9794282_black.jpg","asos/women/pair-with-clothing/asos_9794282_black.jpg","http://images.asos-media.com/products/prettylittlething-polka-dot-frill-hem-wrap-skirt/9794282-1-black?$XXL$&wid=513&fit=constrain","Monochrome dot print|Some things really are black and white|High-rise waist|Wrap design|Ruffle trims|For the frill of it|Regular cut - fits you just right|",,,
"women|pair with clothing","9078989","Boohoo long sleeve v neck body","http://us.asos.com/prd/9078989?CTAref=Complete+the+Look+Carousel_1&featureref1=complete+the+look","boohoo","WHITE","17.50","asos_9078989_white.jpg","asos/women/pair-with-clothing/asos_9078989_white.jpg","http://images.asos-media.com/products/boohoo-long-sleeve-v-neck-body/9078989-1-white?$XXL$&wid=513&fit=constrain","Not just any body|V-neck|Long sleeves|Press-stud fastening underneath|Brief-cut leg|Bodycon fit - holds you close|",,,
"women|pair with clothing","10258125","Weekday Denim Wide Leg Jean","http://us.asos.com/prd/10258125?CTAref=Complete+the+Look+Carousel_1&featureref1=complete+the+look","Weekday","RUST","72.00","asos_10258125_rust.jpg","asos/women/pair-with-clothing/asos_10258125_rust.jpg","http://images.asos-media.com/products/weekday-denim-wide-leg-jean/10258125-1-rust?$XXL$&wid=513&fit=constrain","Surprise your monochrome palette with these|High-rise waist|Concealed fly|Functional pockets|Wide leg|Relaxed fit|",,,
"women|pair with clothing","7117119","Waven Ina Denim Skirt with Raw Step Hem","http://us.asos.com/prd/7117119?CTAref=Complete+the+Look+Carousel_2&featureref1=complete+the+look","WÅVEN","WHITE","30.00","asos_7117119_white.jpg","asos/women/pair-with-clothing/asos_7117119_white.jpg","http://images.asos-media.com/products/waven-ina-denim-skirt-with-raw-step-hem/7117119-1-white?$XXL$&wid=513&fit=constrain","Non-stretch denim|High-rise waist|Zip-side fastening|Asymmetric raw-cut hem|Regular fit - true to size|Machine wash|100% Cotton|Our model wears a UK 8/EU 36/US 4 and is 178cm/5'10"" tall|",,,
